variant,metric,mean,std,min,max,num_runs
actuated,active_accident_vehicles,2.0,0.0,2.0,2.0,1
actuated,active_accidents,1.0,0.0,1.0,1.0,1
actuated,event_direction_green_ratio,0.0755,0.0,0.0755,0.0755,1
actuated,max_queue,14.0,0.0,14.0,14.0,1
actuated,mean_queue,1.708,0.0,1.708,1.708,1
actuated,mean_queue_event_directions,0.1095,0.0,0.1095,0.1095,1
actuated,mean_queue_non_event_directions,1.4935,0.0,1.4935,1.4935,1
actuated,mean_wait_event_directions,160.784,0.0,160.784,160.784,1
actuated,mean_wait_non_event_directions,5.486,0.0,5.486,5.486,1
actuated,mean_waiting_time,166.27,0.0,166.27,166.27,1
actuated,num_safety_overrides,0.0,0.0,0.0,0.0,1
actuated,num_switches,914.0,0.0,914.0,914.0,1
actuated,tail_queue,4.0,0.0,4.0,4.0,1
actuated,throughput,7715.0,0.0,7715.0,7715.0,1
actuated,total_reward,-6832.800000000031,0.0,-6832.800000000031,-6832.800000000031,1
actuated,wasted_green_ratio,0.03775,0.0,0.03775,0.03775,1
dqn_no_event,active_accident_vehicles,2.0,0.0,2.0,2.0,1
dqn_no_event,active_accidents,1.0,0.0,1.0,1.0,1
dqn_no_event,event_direction_green_ratio,0.0,0.0,0.0,0.0,1
dqn_no_event,max_queue,10.0,0.0,10.0,10.0,1
dqn_no_event,mean_queue,1.553,0.0,1.553,1.553,1
dqn_no_event,mean_queue_event_directions,0.102,0.0,0.102,0.102,1
dqn_no_event,mean_queue_non_event_directions,1.351,0.0,1.351,1.351,1
dqn_no_event,mean_wait_event_directions,160.576,0.0,160.576,160.576,1
dqn_no_event,mean_wait_non_event_directions,4.073,0.0,4.073,4.073,1
dqn_no_event,mean_waiting_time,164.649,0.0,164.649,164.649,1
dqn_no_event,num_safety_overrides,0.0,0.0,0.0,0.0,1
dqn_no_event,num_switches,897.0,0.0,897.0,897.0,1
dqn_no_event,tail_queue,3.0,0.0,3.0,3.0,1
dqn_no_event,throughput,7715.0,0.0,7715.0,7715.0,1
dqn_no_event,total_reward,-6488.680000000028,0.0,-6488.680000000028,-6488.680000000028,1
dqn_no_event,wasted_green_ratio,0.0,0.0,0.0,0.0,1
event_dqn,active_accident_vehicles,2.0,0.0,2.0,2.0,1
event_dqn,active_accidents,1.0,0.0,1.0,1.0,1
event_dqn,event_direction_green_ratio,0.0865,0.0,0.0865,0.0865,1
event_dqn,max_queue,11.0,0.0,11.0,11.0,1
event_dqn,mean_queue,1.5655,0.0,1.5655,1.5655,1
event_dqn,mean_queue_event_directions,0.1145,0.0,0.1145,0.1145,1
event_dqn,mean_queue_non_event_directions,1.3515,0.0,1.3515,1.3515,1
event_dqn,mean_wait_event_directions,121.737,0.0,121.737,121.737,1
event_dqn,mean_wait_non_event_directions,3.631,0.0,3.631,3.631,1
event_dqn,mean_waiting_time,125.368,0.0,125.368,125.368,1
event_dqn,num_safety_overrides,0.0,0.0,0.0,0.0,1
event_dqn,num_switches,990.0,0.0,990.0,990.0,1
event_dqn,tail_queue,5.0,0.0,5.0,5.0,1
event_dqn,throughput,7715.0,0.0,7715.0,7715.0,1
event_dqn,total_reward,-3161.1449999999877,0.0,-3161.1449999999877,-3161.1449999999877,1
event_dqn,wasted_green_ratio,0.04325,0.0,0.04325,0.04325,1
fixed_time,active_accident_vehicles,2.0,0.0,2.0,2.0,1
fixed_time,active_accidents,1.0,0.0,1.0,1.0,1
fixed_time,event_direction_green_ratio,0.047,0.0,0.047,0.047,1
fixed_time,max_queue,18.0,0.0,18.0,18.0,1
fixed_time,mean_queue,3.8075,0.0,3.8075,3.8075,1
fixed_time,mean_queue_event_directions,0.1045,0.0,0.1045,0.1045,1
fixed_time,mean_queue_non_event_directions,3.516,0.0,3.516,3.516,1
fixed_time,mean_wait_event_directions,160.767,0.0,160.767,160.767,1
fixed_time,mean_wait_non_event_directions,39.083,0.0,39.083,39.083,1
fixed_time,mean_waiting_time,199.85,0.0,199.85,199.85,1
fixed_time,num_safety_overrides,0.0,0.0,0.0,0.0,1
fixed_time,num_switches,570.0,0.0,570.0,570.0,1
fixed_time,tail_queue,5.0,0.0,5.0,5.0,1
fixed_time,throughput,7708.0,0.0,7708.0,7708.0,1
fixed_time,total_reward,-11669.00000000007,0.0,-11669.00000000007,-11669.00000000007,1
fixed_time,wasted_green_ratio,0.0235,0.0,0.0235,0.0235,1
max_pressure,active_accident_vehicles,2.0,0.0,2.0,2.0,1
max_pressure,active_accidents,1.0,0.0,1.0,1.0,1
max_pressure,event_direction_green_ratio,0.068,0.0,0.068,0.068,1
max_pressure,max_queue,17.0,0.0,17.0,17.0,1
max_pressure,mean_queue,3.969,0.0,3.969,3.969,1
max_pressure,mean_queue_event_directions,0.12,0.0,0.12,0.12,1
max_pressure,mean_queue_non_event_directions,3.7145,0.0,3.7145,3.7145,1
max_pressure,mean_wait_event_directions,161.005,0.0,161.005,161.005,1
max_pressure,mean_wait_non_event_directions,48.373,0.0,48.373,48.373,1
max_pressure,mean_waiting_time,209.378,0.0,209.378,209.378,1
max_pressure,num_safety_overrides,0.0,0.0,0.0,0.0,1
max_pressure,num_switches,490.0,0.0,490.0,490.0,1
max_pressure,tail_queue,5.0,0.0,5.0,5.0,1
max_pressure,throughput,7716.0,0.0,7716.0,7716.0,1
max_pressure,total_reward,-12174.560000000058,0.0,-12174.560000000058,-12174.560000000058,1
max_pressure,wasted_green_ratio,0.034,0.0,0.034,0.034,1
random,active_accident_vehicles,2.0,0.0,2.0,2.0,1
random,active_accidents,1.0,0.0,1.0,1.0,1
random,event_direction_green_ratio,0.033,0.0,0.033,0.033,1
random,max_queue,15.0,0.0,15.0,15.0,1
random,mean_queue,2.3165,0.0,2.3165,2.3165,1
random,mean_queue_event_directions,0.1275,0.0,0.1275,0.1275,1
random,mean_queue_non_event_directions,2.0815,0.0,2.0815,2.0815,1
random,mean_wait_event_directions,161.113,0.0,161.113,161.113,1
random,mean_wait_non_event_directions,12.833,0.0,12.833,12.833,1
random,mean_waiting_time,173.946,0.0,173.946,173.946,1
random,num_safety_overrides,0.0,0.0,0.0,0.0,1
random,num_switches,709.0,0.0,709.0,709.0,1
random,tail_queue,4.0,0.0,4.0,4.0,1
random,throughput,7716.0,0.0,7716.0,7716.0,1
random,total_reward,-8182.8200000000115,0.0,-8182.8200000000115,-8182.8200000000115,1
random,wasted_green_ratio,0.0165,0.0,0.0165,0.0165,1
