variant,metric,mean,std,min,max,num_runs
dqn_no_event,active_accident_vehicles,2.0,0.0,2.0,2.0,1
dqn_no_event,active_accidents,1.0,0.0,1.0,1.0,1
dqn_no_event,event_direction_green_ratio,0.0,0.0,0.0,0.0,1
dqn_no_event,max_queue,10.0,0.0,10.0,10.0,1
dqn_no_event,mean_queue,1.553,0.0,1.553,1.553,1
dqn_no_event,mean_queue_event_directions,0.102,0.0,0.102,0.102,1
dqn_no_event,mean_queue_non_event_directions,1.351,0.0,1.351,1.351,1
dqn_no_event,mean_wait_event_directions,160.576,0.0,160.576,160.576,1
dqn_no_event,mean_wait_non_event_directions,4.073,0.0,4.073,4.073,1
dqn_no_event,mean_waiting_time,164.649,0.0,164.649,164.649,1
dqn_no_event,num_safety_overrides,0.0,0.0,0.0,0.0,1
dqn_no_event,num_switches,897.0,0.0,897.0,897.0,1
dqn_no_event,tail_queue,3.0,0.0,3.0,3.0,1
dqn_no_event,throughput,7715.0,0.0,7715.0,7715.0,1
dqn_no_event,total_reward,-6488.680000000028,0.0,-6488.680000000028,-6488.680000000028,1
dqn_no_event,wasted_green_ratio,0.0,0.0,0.0,0.0,1
event_dqn,active_accident_vehicles,2.0,0.0,2.0,2.0,1
event_dqn,active_accidents,1.0,0.0,1.0,1.0,1
event_dqn,event_direction_green_ratio,0.0865,0.0,0.0865,0.0865,1
event_dqn,max_queue,11.0,0.0,11.0,11.0,1
event_dqn,mean_queue,1.5655,0.0,1.5655,1.5655,1
event_dqn,mean_queue_event_directions,0.1145,0.0,0.1145,0.1145,1
event_dqn,mean_queue_non_event_directions,1.3515,0.0,1.3515,1.3515,1
event_dqn,mean_wait_event_directions,121.737,0.0,121.737,121.737,1
event_dqn,mean_wait_non_event_directions,3.631,0.0,3.631,3.631,1
event_dqn,mean_waiting_time,125.368,0.0,125.368,125.368,1
event_dqn,num_safety_overrides,0.0,0.0,0.0,0.0,1
event_dqn,num_switches,990.0,0.0,990.0,990.0,1
event_dqn,tail_queue,5.0,0.0,5.0,5.0,1
event_dqn,throughput,7715.0,0.0,7715.0,7715.0,1
event_dqn,total_reward,-3161.1449999999877,0.0,-3161.1449999999877,-3161.1449999999877,1
event_dqn,wasted_green_ratio,0.04325,0.0,0.04325,0.04325,1
